id,lane,kind,severity,step,expected,actual,compare,repro
L2-01,L2,bug,3,建三個世界,在 team/boss/ 裡跑 aos agent init，boss/ 就變成自己的世界,find_folder 往上找到最近的 .aos/，agent 被靜默建到祖先世界（實測：建到了 repo 根 .aos/agents/boss），子資料夾連 .aos/ 都沒有，沒有任何警告說「我用的不是你站的資料夾」。只有先手動 mkdir .aos 才會建在原地,Claude Code 開隊時工作目錄就是你給的那個，不會自己往上跳,repro/L2-01.sh
L2-02,L2,spec-gap,3,劇本1 派工,boss agent 開機就有「投遞給隊友」的能力,aos agent init 只裝 cat／ls／sh 三個預設工具；沒有 aos、沒有 deliver、沒有 contact。boss 想派工只能走 sh 逃生口，或使用者自己 aos tool add aos。repo 根的 aos.json／git.json 是人手加進版控的，不是預設,Claude Code 的主 agent 天生就有 Task／SendMessage，不需要先幫它裝,repro/L2-02.sh
L2-03,L2,spec-gap,3,劇本1 派工,boss 的 system prompt 裡有通訊錄，它知道隊上有 w1／w2,只有頂層 CLI（run_top.cpp）讀 contacts.json；step.cpp／tools.cpp 組 system prompt 時只列工具、從不列聯絡人。agent 資料夾裡完全沒有通訊錄的影子。使用者只能把隊友名單抄進 persona 或每則訊息,Claude Code 的主 agent 拿得到 available agent types 清單,repro/L2-02.sh
L2-04,L2,spec-gap,3,劇本1 派工（pi）,--engine pi 的 boss 也能用世界工具登記表與通訊錄,engine_pi.cpp 對 tool registry 零引用；pi_system_prompt 只有人格，還明講「不要去動 .aos/ 這個資料夾」——而 contacts.json 正好住在 .aos/。等於 pi 版 boss 被指示別看自己的通訊錄，只能靠自帶的 bash 亂猜,Claude Code 的 subagent 也繼承工具，不會因為換 CPU 就失去隊友名單,
L2-05,L2,spec-gap,3,劇本2 收回報,boss 收到回報時看得出是 w1 還是 w2 寄的,"aos::agent::say() 只把純文字寫成 say/<時間戳>-<pid>-<序號>.md，一個位元組的寄件人都沒有；step 讀進去就是一則 {role:user,content:原文}，跟使用者親手打的 aos say 完全無法區分。實測三個不同來源寄同一句話，三個檔案內容一模一樣。沒有 from = 沒有回信地址",Claude Code 的 subagent 回報一定帶 agent id，主 agent 知道是誰回的,repro/L2-05.sh
L2-06,L2,awkward,2,劇本2 收回報,boss 加了 w1 之後，w1 自然有回 boss 的路,通訊錄是單向的：boss 的 contacts.json 有 w1，w1 的是空的。worker 要回報必須先有人在 worker 世界裡跑 aos contact add boss ../boss。派工的那一方沒辦法順手把回信地址一起給出去（say 沒有 --from、contact add 不會對寫）,Claude Code 的 subagent 不需要登記就能回報給呼叫者,repro/L2-05.sh
L2-07,L2,cannot,3,劇本3 看誰在忙,一個指令看得出全隊誰在忙、誰有待辦,"(a) 沒有 aos contact status 之類的彙總；contact ls 只有名字與資料夾，不帶狀態。N 個 worker = N 次 cd + N 次 aos state。(b) 世界層 state.json 的 agents 欄只涵蓋本世界，boss 的 state.json 看不到 w1。(c) 更糟：狀態根本不反映未讀信——w1 堆了 3 封未讀，aos state 仍是 {status:idle,detail:等待訊息}",Claude Code 一個畫面就列出所有 subagent 的 running／done,repro/L2-07.sh
L2-08,L2,bug,1,劇本1 派工,aos say --to 的成功訊息印出真實收信位置,印的是 <folder>/<agent> 黏在一起的假路徑，例如「已送給 w1（.../team/w1/w1）」——那個路徑不存在，貼進 ls 只有 No such file or directory。真正收信的是 .../w1/.aos/agents/w1/say/,,repro/L2-08.sh
L2-09,L2,bug,2,劇本1 派工,投遞失敗時說得出是路徑錯還是對方沒 init，並印出解析後的路徑,「聯絡人指到不存在的資料夾」與「資料夾存在但沒有 agent」印同一句「aos say: 這個資料夾還沒有 agent；請先跑 aos agent init」，且從不說出它解析到哪個路徑。contact add 又不檢查目標存不存在，打錯路徑要到寄信當下才炸，還炸得不指路,,repro/L2-09.sh
L2-10,L2,bug,2,劇本1 派工,aos say --help 印出 usage，且說明 --to,(a) 沒有 agent 的資料夾 → 印「這個資料夾還沒有 agent」，看不到 usage；(b) 有 agent 的資料夾 → 靜默把字串 --help 當訊息寫進 say/ 信箱、exit 0，下一回合白燒一次 LLM；(c) usage 其實存在（aos say 不帶參數就看得到）但從沒解釋 --to 是查通訊錄用的，而 --to 是跨世界投遞的唯一入口,,repro/L2-10.sh
