L3-21,L3,awkward,2,逐一跑新子命令 --help,所有 --help 都應 exit 0 且把完整 usage 印到 stdout,"chat exit 2/stdout 0/stderr 179 bytes；inbox exit 2/stdout 0/stderr 251 bytes；stop exit 0 卻印「aos stop: 沒有在跑的 loop」31 bytes 而非 usage；contact/run 才是 exit 0 stdout usage",pi --help 是單一 exit 0 的 stdout 說明且不會執行別的動作,-
L3-22,L3,bug,3,陳舊 run.pid 的 PID 已被無關行程回收,aos stop 應驗證 PID 真的是本世界 loop 後才送 signal,"把仍存活的 sleep 60 PID 寫進 run.pid 後，stop exit 0 並印「已停止 loop（pid 3589521）」，sleep 被殺且 run.pid 被刪",Claude Code 停 session 會按受管行程身分終止而不是信任工作目錄裡的裸 PID,repro/L3-22.sh
L3-23,L3,bug,2,inbox read 收到顯式空字串 id,空 id 應 exit 非 0 且不改信箱,"信箱 1 封時 inbox read """" exit 0、stdout 114 bytes，直接搬走唯一一封，未讀 1→0",pi 對空 prompt 仍是明確一次輸入而不會暗中消費另一個待辦,repro/L3-23.sh
L3-24,L3,awkward,3,使用者用 inbox read 看一封尚待 agent 處理的信,閱讀與 agent 消費應分離或預設保留，破壞性動作才需明示,"完整 id read exit 0 後 say 1→0、檔案搬到 agents/worker/read；下一回合只花 3 ms，history 中 MAGENTA-731 出現 0 次；stderr 80 bytes 才警告要用 --keep",Claude Code 裡使用者看訊息不會讓 agent 永久失去同一則訊息,-
L3-25,L3,bug,3,中斷 chat 或停止忙碌 daemon,中斷應收掉整棵 process tree 且不留 aos agent step,"chat 收 SIGINT 後 1.002 秒 exit 124，9 秒後仍有 agent step；另一次 stop 忙碌 daemon 102 ms exit 0，daemon/中介已死但 step pid 3604514 在 200 ms 後仍活著",pi 前台 Ctrl-C 會終止當次 provider 請求，不留下另一個無主 session runner,repro/L3-25.sh
L3-26,L3,bug,3,LM Studio 關閉時用 daemon 搭配 talk,錯誤應回到 talk 且依 interval/backoff 等待，不應用未讀反覆立即喚醒,"talk 10.001 秒後 timeout exit 124、stdout 0；daemon 10 秒內跑到 turn 664 且 unread 仍 1，run.log 連續重複 localhost:1234 連線失敗",pi -p 在同一個前台命令只回報一次 provider/端點錯誤後結束,repro/L3-26.sh
L3-27,L3,spec-gap,2,daemon 存活但 agent 正在等訊息時查看 state/contact status,狀態應有 loop/daemon running 欄讓人知道世界有人持續推進,"run.pid 的 pid 3588684 kill -0 成功時 state 仍只列 status=idle；contact status 對存活 daemon 的 worker 也只列 idle/turn 1，沒有任何 loop 欄",Claude Code 的 session/agent 畫面會區分仍在執行但等待輸入與已完全停止,-
L3-28,L3,bug,2,pi 引擎回合失敗後查看 state,last_error 應和 lmstudio 一樣保存本回合錯誤,"拿掉 DEEPSEEK_API_KEY 實測 run 417 ms exit 1、status=error、detail 是「pi 失敗（exit=1）…」，unread=1，但 last_error 是空字串",pi 本身把 provider/session 錯誤直接留在該命令 stderr，不會同時呈現 error 與空錯誤欄,repro/L3-28.sh
L3-29,L3,awkward,1,同世界重複啟動 daemon,第二次應指出既有 pid/lock 並提示 aos stop,"首次 2 ms exit 0；第二次 2 ms exit 1、stderr 122 bytes 只說「aos run: 背景 loop 啟動失敗」，run.pid 仍是 3588684",Claude Code 若已有受管 session 會以 session 身分顯示而不是只給泛化啟動失敗,-
L3-30,L3,awkward,2,LM Studio 未開時逐一操作新舊入口,會碰 LLM 的入口應明說開啟 LM Studio 或完整列出 http://localhost:1234/v1,"curl exit 7；chat/run/llm 各 exit 1 且只含 raw「Failed to connect to localhost port 1234…」而沒有「開 LM Studio」；talk 無 loop 時 exit 1 只教另開終端跑 --step 0；inbox read/state/contact status 因不呼叫 LLM 分別 exit 0",pi -p 的 provider 錯誤在同一個前台命令直接呈現，使用者不用再查 daemon log,-
