L1-19,L1,bug,3,錯誤路徑 端點連不上,LM Studio 沒開時要有人告訴我,把端點指到沒人聽的 port 推 2 回合：run 印兩條正常的 turn 行、exit 0；state 仍 status=idle、detail=等待訊息；listen 只看得到使用者自己那句話。錯誤原文「aos agent: LLM 連線失敗: Failed to connect to localhost port 19999 ...」與 inner exit=1 只寫在 .aos/batch/<turn>/out/*.json——沒有任何 aos 指令會帶你去那裡,pi 連不上就在同一個前景指令印錯誤並非 0 結束，1 個指令,repro/L1-19.sh
L1-20,L1,bug,3,錯誤路徑 端點連不上之後,那一回合失敗了，我的話應該還在,失敗的那一回合就把 .aos/agents/<name>/say/ 的檔案吃掉了（未讀 1 → 0），只在 log.md 留下一行 user；端點修好後再推 4 回合，agent 沒有任何回覆——那句話永遠不會被回答，也沒有任何提示說它掉了。一次 LM Studio 沒開，使用者交代的事就這樣消失,pi 是同步的：失敗就當場報錯，話還在你的 shell history 裡，重打一次即可,repro/L1-20.sh
L1-21,L1,cannot,3,劇本1 改函式 推滿 45 回合,45 回合內要改完 4 個檔並 make 通過,A 隊三批共 45 個世界回合、11.93 秒之後 0 個來源檔有差異。有效內容只有 turn 16 提出一個 ls、turn 18 拿到結果之後回了一段空白 assistant，然後一路空轉。追問才讓它重新動作，最後只改了 2 個檔，make 仍因 main.cpp 沒接 optional 而失敗,pi 用 1 個 pi -p 指令、69.27 秒改完 4 個檔並自己跑過 make 回報 ok,-
L1-22,L1,awkward,3,劇本5 指令數總帳,一句話就該完成的事，實際要打幾個指令,三隊獨立量到同一個量級：最小可用一輪（mkdir .aos → agent init → say → run → listen → 驗結果）B 隊 4 個 aos 指令、D 隊 10 個指令 15 回合 26.8 秒才做完「在 README.md 最後加一行」；跑完整改函式劇本 A 與 B 各實打 19 個 aos 指令。而且中間必須永久佔住第二個終端機跑 run,同一件事 pi 都是 1 個 pi -p；追問再 1 個 pi -c -p。D 隊的對照：aos 10 指令 vs pi 1 指令，22.0 秒一次成功,-
L1-23,L1,awkward,3,劇本1 工具往返,工具參數格式錯了，模型應該看一次錯誤就學會,登記表把 sh 宣告成 args: string，模型卻反覆送陣列：D 隊實測「工具 sh 的 args 必須是字串」原文重複 5 次、燒掉 12 回合 25.3 秒才成功；A 隊也在 turn 46 撞一次、turn 47 才改對。三回合往返讓每次犯錯的代價變成 3 個回合,pi 的 bash 工具沒有這層轉譯，A／B／D 三隊的 pi 對照 log 都沒有任何工具參數錯誤,-
L1-24,L1,awkward,2,劇本1 追問跑測試,追問一句「跑一下 make」就該得到測試結論,A 隊實測要 say＋run＋listen 共 3 個 aos 指令、等 9 個世界回合、13.31 秒；而且答案只以原始工具 JSON 的形式出現（exit 0 與 ok 夾在跳脫過的 stdout 裡），沒有一則面向使用者的完成答覆。run 結束時還留著一個沒收回的 pending call,pi 的單一指令結尾直接列出 make 通過與 ok,-
L1-25,L1,awkward,2,劇本3 記憶落在哪,agent 的記憶應該只有一份、而且在世界裡,pi 引擎有兩套記憶且 aos 這份是殘的：B 隊實測 history.json 3602 bytes／8 則最終訊息，同一個 session_id 對應的 ~/.pi/agent/sessions/<把世界路徑打平的長檔名>/*.jsonl 是 32743 bytes／32 則訊息、含 15 個 toolResult。listen 只有工具參數摘要、沒有工具輸出。使用者若不知道 session_id 怎麼對應路徑，根本找不到完整記憶,直接用 pi 只有一份 session；pi -c -p 一個指令就續談,-
L1-26,L1,bug,2,劇本1 pi 引擎讀工具登記表,pi agent 該看到自己世界的 .aos/tools,B 隊實測 B 世界只有 cat／ls／sh 三個登記檔，pi 卻答出 aos／cat／git／ls／sh 五個——它 cd 到 repo 根去讀了祖先世界的 .aos/tools；同時又自稱實際用的是 read／bash／edit／write。乾淨重跑才答對三個，判定不穩定。文件說 pi 引擎不走世界工具登記表，但它會自己爬上去讀，兩套工具觀念並存,直接用 pi 只有一組內建工具，pi --help 一次列完,-
L1-27,L1,spec-gap,2,劇本1 選 CPU,「用 pi」在 aos 內外應該是同一顆腦,裸 pi 預設走 openai-codex／gpt-5.6-sol（B 隊實測 62.31 秒），aos agent init --engine pi 預設走 deepseek／deepseek-v4-flash（17.84 秒）。同一句「我用 pi」在兩邊是兩個不同的模型與帳單，init 不印、文件也只在 README 深處提一句,使用者自己指定同 provider／model 時，pi 1 個指令 15.53 秒——比 aos 這條路少 2.31 秒,-
L1-28,L1,awkward,1,錯誤路徑 工具子命令,tool list／tool remove 這種直覺名稱該能用或該被指路,aos tool list 與 aos tool remove nosuchtool 都是 exit 2 印出完整 usage（真名是 ls／rm）；但頂層 aos --help 對 tool 的一行說明寫的是「登記／列出／移除這個世界可用的工具」，指向的正是 list／remove 這組詞,pi 沒有工具登記這一層，1 個指令直接交代任務,-
L1-29,L1,cannot,1,錯誤路徑 不存在的工具,用自然語言要一個沒登記的工具，該在 listen 看到 unknown_tool,D 隊推 6 回合都走不到這條路：模型不會去要 make，而是改呼叫已登記的 sh，於是實際看到的是「工具 sh 的 args 必須是字串」。README 記載的 unknown_tool 一行 JSON 在整場實測裡沒有出現過，這條錯誤路徑對使用者是走不到的,pi 直接用內建 bash 跑 make，沒有「工具沒登記」這個概念,-
